,Unnamed: 0,uuid,minr,minc,maxr,maxc,maxr_fixed,minr_fixed,maxc_fixed,minc_fixed,center_r,center_c,row_rad,col_rad,rad
0,4,938ff7cf-0b90-4304-b60e-540aed35bc81,334,5859,715,6217,1081,700,6217,5859,890.5,6038.0,190.5,179.0,179.0
1,11,787d7809-623d-45c8-a263-217163d39b4c,373,6232,758,6641,1124,739,6641,6232,931.5,6436.5,192.5,204.5,192.5
7,52,52e76e2a-8ad5-46b8-b658-a7134dec7bab,612,2578,859,2813,1225,978,2813,2578,1101.5,2695.5,123.5,117.5,117.5
10,63,553679c3-634a-4a7a-9284-ff0883f425da,654,6630,1244,7031,1610,1020,7031,6630,1315.0,6830.5,295.0,200.5,200.5
15,88,b72aef60-504e-4ee7-ae89-60aece7f28b6,727,3235,1155,3516,1521,1093,3516,3235,1307.0,3375.5,214.0,140.5,140.5
22,116,c54f481c-4a12-44cb-a8b1-e64768821c6b,851,4394,1491,4827,1857,1217,4827,4394,1537.0,4610.5,320.0,216.5,216.5
23,118,0da4980b-b047-410e-9c1d-86538fb24511,866,2475,1192,2764,1558,1232,2764,2475,1395.0,2619.5,163.0,144.5,144.5
28,186,662a8a71-bb1d-42ad-ae95-fe4c90b5d7f5,1205,5205,1862,5892,2228,1571,5892,5205,1899.5,5548.5,328.5,343.5,328.5
29,194,9aa7e590-108a-4e8e-af95-e95532594445,1231,5832,1582,6129,1948,1597,6129,5832,1772.5,5980.5,175.5,148.5,148.5
30,202,797b9da6-199c-4601-919d-7a5f1c19389c,1254,2490,1619,2884,1985,1620,2884,2490,1802.5,2687.0,182.5,197.0,182.5
34,228,1bce98df-734f-4290-8d28-74f33e8d7b9b,1408,907,1640,1198,2006,1774,1198,907,1890.0,1052.5,116.0,145.5,116.0
35,229,91df68e2-d435-4c4a-9d22-fb33ee0cd345,1408,5978,1757,6316,2123,1774,6316,5978,1948.5,6147.0,174.5,169.0,169.0
44,283,723e4b60-5c0c-470f-822d-8425f06fcad3,1688,1668,1968,1936,2334,2054,1936,1668,2194.0,1802.0,140.0,134.0,134.0
47,296,5ef071fb-0c25-4125-8837-a7a85926d453,1742,2665,2105,3031,2471,2108,3031,2665,2289.5,2848.0,181.5,183.0,181.5
51,317,889afd46-511a-466c-b483-3c0829b1e90c,1847,2970,2330,3461,2696,2213,3461,2970,2454.5,3215.5,241.5,245.5,241.5
53,335,756ef011-08c9-4e39-a029-842052454e56,1954,1021,2288,1249,2654,2320,1249,1021,2487.0,1135.0,167.0,114.0,114.0
57,352,f15ac26d-1c9e-468c-a135-5ffc05be306a,2033,4092,2374,4517,2740,2399,4517,4092,2569.5,4304.5,170.5,212.5,170.5
58,355,6d4f9011-8f94-4434-9097-6f200113f223,2047,2272,2393,2544,2759,2413,2544,2272,2586.0,2408.0,173.0,136.0,136.0
61,425,a4f16137-3802-4bd5-b027-00fe3bc9cd5e,2305,949,2675,1304,3041,2671,1304,949,2856.0,1126.5,185.0,177.5,177.5
62,429,ac84d30e-314e-478f-ba4e-ab368f804786,2312,710,2621,972,2987,2678,972,710,2832.5,841.0,154.5,131.0,131.0
63,430,0fe192cc-2f51-48c6-b711-353664f918a1,2316,481,3214,883,3580,2682,883,481,3131.0,682.0,449.0,201.0,201.0
65,433,d8f91849-ad8a-45a4-9626-b86b6a8f3f85,2326,1236,3022,2269,3388,2692,2269,1236,3040.0,1752.5,348.0,516.5,348.0
